sex,age,age_cat,race,decile_score,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_charge_degree,is_recid,decile_score,score_text,two_year_recid
Male,41,25 - 45,Caucasian,1,5,-1,2013-11-25 7:40,2013-11-26 10:02,F,0,1,Low,0
Male,23,Less than 25,Caucasian,3,0,0,2013-01-16 3:21,2013-01-18 6:02,M,0,3,Low,0
Female,21,Less than 25,Caucasian,5,0,-1,2014-03-09 4:11,2014-03-10 12:58,M,1,5,Medium,1
Male,54,Greater than 45,African-American,1,0,-1,2013-02-22 10:36,2013-02-24 2:27,F,0,1,Low,0
Male,27,25 - 45,African-American,6,10,-1,2014-10-20 2:10,2014-10-21 8:11,F,1,6,Medium,1
Male,22,Less than 25,Caucasian,3,0,-4,2013-10-06 3:03,2013-10-07 8:17,M,0,3,Low,0
Female,21,Less than 25,Hispanic,7,0,-1,2014-06-09 5:06,2014-06-10 1:00,M,1,7,Medium,1
Male,23,Less than 25,African-American,6,2,-1,2013-08-24 5:25,2013-08-30 7:02,F,1,6,Medium,1
Male,30,25 - 45,Hispanic,1,1,-9,2013-12-08 10:10,2013-12-16 8:47,M,0,1,Low,0
Male,36,25 - 45,African-American,8,5,-20,2013-10-31 1:51,2013-11-19 10:46,M,1,8,High,1
Female,24,Less than 25,Hispanic,6,2,48,2014-02-06 3:33,2014-02-07 2:49,F,1,6,Medium,1
Male,29,25 - 45,African-American,7,10,-1,2013-08-06 5:55,2013-08-29 8:04,F,1,7,Medium,1
Male,54,Greater than 45,African-American,5,4,-1,2013-03-16 11:33,2013-06-03 8:21,M,1,5,Medium,1
Male,22,Less than 25,Caucasian,5,2,-1,2013-08-28 11:26,2013-09-11 8:03,M,1,5,Medium,1
Male,38,25 - 45,Caucasian,1,2,-64,2013-10-08 3:58,2013-10-12 10:37,F,0,1,Low,0
Male,26,25 - 45,African-American,4,0,-1,2013-02-01 6:04,2013-02-02 5:16,M,1,4,Low,1
Female,20,Less than 25,African-American,4,0,-1,2014-02-10 7:08,2014-02-11 11:50,F,0,4,Low,0
Male,56,Greater than 45,Hispanic,1,0,,,,M,0,1,Low,0
Male,52,Greater than 45,African-American,1,6,0,2013-09-30 11:04,2013-10-02 4:00,M,1,1,Low,1
Male,29,25 - 45,African-American,1,0,-1,2013-04-11 2:03,2013-04-13 4:17,F,0,1,Low,0
Female,23,Less than 25,African-American,7,6,-18,2013-11-28 11:32,2013-12-16 6:10,M,0,7,Medium,0
Male,35,25 - 45,African-American,1,1,-1,2014-01-21 5:56,2014-01-30 10:03,M,0,1,Low,0
Male,32,25 - 45,Caucasian,9,8,-4,2013-11-08 4:35,2013-11-09 2:08,F,1,9,High,1
Male,21,Less than 25,African-American,7,1,-18,2013-11-02 1:59,2013-11-03 1:26,M,1,7,Medium,1
Male,25,25 - 45,Hispanic,3,0,-1,2013-10-07 7:18,2013-10-08 3:39,F,0,3,Low,0
Male,32,25 - 45,African-American,2,5,,,,M,1,2,Low,1
Male,30,25 - 45,African-American,4,4,-1,2014-10-13 3:42,2014-10-14 7:15,M,1,4,Low,1
Female,30,25 - 45,African-American,4,3,-1,2014-01-11 7:06,2014-02-06 9:34,F,0,4,Low,0
Male,23,Less than 25,African-American,7,2,-1,2013-04-24 3:10,2013-04-30 7:30,F,1,7,Medium,1
Male,32,25 - 45,Caucasian,4,8,-2,2013-07-27 10:35,2013-07-29 11:27,F,1,4,Low,0
Male,52,Greater than 45,Caucasian,1,1,-111,2013-08-22 10:06,2013-08-24 2:22,F,0,1,Low,0
Male,29,25 - 45,African-American,10,6,-1,2013-01-03 11:14,2013-02-12 5:48,F,1,10,High,1
Male,42,25 - 45,Caucasian,1,0,0,2013-08-16 3:31,2013-08-16 9:14,M,0,1,Low,0
Male,21,Less than 25,African-American,8,0,0,2013-02-24 3:20,2013-02-25 2:11,F,1,8,High,1
Female,36,25 - 45,Caucasian,9,4,110,2014-05-21 4:48,2014-11-05 11:24,F,1,9,High,1
Female,22,Less than 25,African-American,3,0,-2,2014-01-04 11:57,2014-01-05 1:34,M,0,3,Low,0
Male,45,Greater than 45,Hispanic,1,2,-1,2013-01-25 7:53,2013-03-13 12:29,F,0,1,Low,0
Male,29,25 - 45,African-American,2,0,-1,2013-11-09 8:24,2013-11-10 2:36,M,0,2,Low,0
Male,54,Greater than 45,African-American,2,2,,,,M,0,2,Low,0
Male,30,25 - 45,African-American,5,6,-1,2013-01-23 4:50,2013-01-26 3:15,F,1,5,Medium,1
Male,51,Greater than 45,African-American,4,17,0,2013-10-23 2:05,2013-10-23 7:52,M,0,4,Low,0
Male,45,Greater than 45,Hispanic,3,20,0,2013-04-27 3:24,2013-04-29 9:39,F,1,3,Low,1
Male,27,25 - 45,African-American,3,3,88,2014-11-10 10:05,2015-09-08 9:20,F,1,3,Low,1
Male,24,Less than 25,Hispanic,2,1,190,2014-02-13 11:43,2014-02-27 10:36,F,1,2,Low,1
Male,24,Less than 25,Caucasian,6,2,-27,2013-09-04 6:36,2013-09-04 6:53,F,0,6,Medium,0
Male,23,Less than 25,African-American,7,2,-1,2013-02-03 5:45,2013-02-08 11:19,M,0,7,Medium,0
Female,42,25 - 45,Other,3,2,496,2014-09-05 4:36,2014-09-19 6:50,M,0,3,Low,0
Male,36,25 - 45,African-American,4,5,-1,2013-12-11 5:02,2013-12-12 1:44,F,0,4,Low,0
Female,38,25 - 45,African-American,7,8,,,,M,1,7,Medium,1
Male,69,Greater than 45,Hispanic,1,0,-1,2014-03-30 6:30,2014-03-31 1:49,M,0,1,Low,0
Male,21,Less than 25,Hispanic,5,1,-4,2013-11-14 9:10,2013-11-16 8:34,F,1,5,Medium,1
Male,59,Greater than 45,Hispanic,1,1,-1,2013-04-26 10:39,2013-04-27 1:07,M,0,1,Low,0
Male,39,25 - 45,African-American,6,1,-9,2014-01-05 9:54,2014-01-10 7:58,F,0,6,Medium,0
Male,29,25 - 45,African-American,6,2,-1,2013-05-05 10:38,2013-06-12 5:40,F,0,6,Medium,0
Male,22,Less than 25,Hispanic,7,1,0,2013-03-02 12:57,2013-03-04 5:34,M,1,7,Medium,1
Male,28,25 - 45,African-American,4,1,,,,F,0,4,Low,0
Male,44,25 - 45,Caucasian,3,6,0,2013-03-22 12:07,2013-03-22 8:51,F,0,3,Low,0
Male,25,25 - 45,African-American,5,2,-1,2013-02-16 4:14,2013-04-15 4:35,F,0,5,Medium,0
Male,31,25 - 45,African-American,10,0,0,2014-01-20 3:43,2014-01-20 9:17,F,0,10,High,0
Male,35,25 - 45,African-American,7,17,-1,2013-02-02 1:30,2013-02-04 3:00,M,1,7,Medium,1
Male,27,25 - 45,African-American,10,11,-1,2014-06-04 4:07,2014-06-06 11:55,M,1,10,High,1
Male,33,25 - 45,African-American,5,1,0,2013-11-23 12:34,2013-11-25 10:32,F,0,5,Medium,0
Male,28,25 - 45,African-American,9,6,-1,2013-09-07 11:25,2013-09-08 11:14,F,1,9,High,1
Male,20,Less than 25,African-American,10,1,-51,2014-03-04 8:08,2014-03-06 5:40,F,1,10,High,1
Male,60,Greater than 45,Caucasian,1,1,-1,2014-03-02 12:41,2014-03-03 8:09,F,0,1,Low,0
Male,53,Greater than 45,Hispanic,1,0,0,2014-01-19 5:06,2014-01-20 12:41,M,0,1,Low,0
Male,51,Greater than 45,Hispanic,1,0,0,2013-05-22 1:34,2013-05-23 4:43,F,1,1,Low,1
Male,25,25 - 45,Hispanic,2,1,-106,2013-08-27 2:38,2013-09-28 2:10,F,0,2,Low,0
Male,27,25 - 45,African-American,7,5,76,2014-02-27 1:40,2014-09-18 7:01,F,1,7,Medium,1
Female,54,Greater than 45,African-American,1,0,-1,2013-12-15 2:13,2013-12-16 7:55,F,0,1,Low,0
Female,26,25 - 45,African-American,5,3,-305,2013-03-10 5:04,2013-03-11 5:35,M,0,5,Medium,0
Male,24,Less than 25,Caucasian,4,3,-1,2014-03-04 11:56,2014-03-06 4:15,M,0,4,Low,0
Male,55,Greater than 45,Hispanic,2,1,0,2013-01-17 2:41,2013-01-18 7:54,F,1,2,Low,1
Male,26,25 - 45,Hispanic,3,0,-1,2013-03-24 3:23,2013-03-26 11:28,F,0,3,Low,0
Female,75,Greater than 45,African-American,1,5,-1,2013-07-31 4:54,2013-08-01 7:43,F,0,1,Low,0
Male,36,25 - 45,African-American,5,16,0,2013-10-29 2:19,2013-10-29 7:47,F,1,5,Medium,1
Male,56,Greater than 45,African-American,3,8,-106,2013-08-05 7:30,2013-10-16 11:44,F,0,3,Low,0
Male,34,25 - 45,Other,2,0,-1,2014-02-23 6:40,2014-02-25 10:03,F,1,2,Low,1
Female,25,25 - 45,African-American,7,5,-1,2013-02-16 1:28,2013-04-04 9:33,M,1,7,Medium,1
Male,46,Greater than 45,Caucasian,1,0,-1,2013-03-24 9:03,2013-03-25 7:14,F,0,1,Low,0
Male,27,25 - 45,African-American,2,1,0,2013-01-19 3:06,2013-01-26 1:55,F,0,2,Low,0
Male,24,Less than 25,African-American,6,1,,,,M,0,6,Medium,0
Male,28,25 - 45,African-American,3,3,0,2014-01-13 12:15,2014-01-13 2:23,M,1,3,Low,1
Male,42,25 - 45,African-American,8,13,-1,2013-05-19 4:11,2013-05-20 1:56,M,1,8,High,1
Male,59,Greater than 45,African-American,1,2,0,2013-04-29 1:05,2013-04-29 6:35,M,0,1,Low,0
Male,39,25 - 45,Caucasian,1,1,-15,2013-12-05 3:06,2013-12-20 1:58,F,0,1,Low,0
Male,46,Greater than 45,Caucasian,4,5,-1,2013-04-18 7:24,2013-04-30 7:30,M,0,4,Low,0
Male,25,25 - 45,Other,2,1,-1,2013-01-14 9:27,2013-01-15 1:39,F,0,2,Low,0
Male,55,Greater than 45,Caucasian,1,2,-1,2013-04-02 11:56,2013-04-04 10:21,F,0,1,Low,0
Male,35,25 - 45,African-American,10,1,-4,2014-01-31 4:31,2014-02-01 10:05,M,1,10,High,1
Male,43,25 - 45,African-American,1,0,-1,2014-03-26 5:00,2014-03-27 8:19,M,1,1,Low,1
Female,53,Greater than 45,Caucasian,1,0,0,2014-02-06 5:04,2014-02-07 2:27,M,0,1,Low,0
Female,21,Less than 25,African-American,5,0,-1,2013-12-26 6:12,2013-12-27 7:35,M,0,5,Medium,0
Male,55,Greater than 45,African-American,10,17,-1,2013-04-26 6:25,2013-05-22 5:48,F,1,10,High,1
Male,27,25 - 45,African-American,3,1,-1,2013-03-14 1:03,2013-03-15 7:56,F,1,3,Low,1
Male,40,25 - 45,African-American,1,0,-1,2013-04-07 3:56,2013-04-09 11:36,F,0,1,Low,0
Female,37,25 - 45,Caucasian,1,0,-1,2014-03-07 6:26,2014-03-08 9:43,M,0,1,Low,0
Male,32,25 - 45,Caucasian,2,2,-1,2013-05-07 2:17,2013-05-12 7:15,M,1,2,Low,1
Male,32,25 - 45,African-American,2,2,-1,2013-08-09 11:28,2013-08-11 3:36,M,0,2,Low,0
Male,36,25 - 45,African-American,5,4,-1,2013-12-14 10:15,2013-12-17 1:25,M,1,5,Medium,1
Male,22,Less than 25,Hispanic,3,0,-1,2014-03-09 10:59,2014-03-10 3:29,M,0,3,Low,0
Female,31,25 - 45,African-American,8,0,-1,2013-09-16 7:41,2013-09-18 8:56,F,0,8,High,0
Female,26,25 - 45,African-American,7,4,0,2013-09-13 3:23,2013-09-14 1:41,F,1,7,Medium,1
Female,50,Greater than 45,Caucasian,6,30,-1,2013-01-11 11:15,2013-01-15 4:45,M,1,6,Medium,1
Male,47,Greater than 45,African-American,3,4,0,2013-03-30 3:56,2013-03-30 7:56,F,0,3,Low,0
Male,36,25 - 45,African-American,3,2,-2,2013-03-02 8:36,2013-03-03 8:52,F,1,3,Low,0
Female,38,25 - 45,Caucasian,1,0,-1,2013-11-07 2:09,2013-11-08 9:00,F,0,1,Low,0
Male,35,25 - 45,Other,1,0,-1,2014-03-12 3:20,2014-03-14 9:36,F,0,1,Low,0
Male,53,Greater than 45,Caucasian,1,0,-1,2013-12-15 11:06,2013-12-16 8:27,F,0,1,Low,0
Male,53,Greater than 45,African-American,3,2,-1,2013-03-09 9:26,2013-03-10 1:02,F,0,3,Low,0
Male,57,Greater than 45,African-American,7,19,-1,2013-10-21 11:00,2014-02-16 3:07,F,0,7,Medium,0
Male,22,Less than 25,African-American,8,5,-1,2013-09-26 3:08,2013-10-15 6:00,F,1,8,High,1
Male,21,Less than 25,African-American,10,0,-5,2013-02-14 6:35,2013-02-15 7:40,F,1,10,High,1
Male,26,25 - 45,African-American,3,0,-1,2013-04-26 5:44,2013-04-27 8:57,F,1,3,Low,1
Female,24,Less than 25,African-American,3,1,279,2013-11-05 1:27,2013-11-19 5:29,F,1,3,Low,0
Male,27,25 - 45,African-American,5,2,-1,2014-02-08 7:03,2014-03-01 5:08,F,0,5,Medium,0
Female,49,Greater than 45,Caucasian,5,4,0,2013-05-25 12:09,2013-05-29 5:21,F,0,5,Medium,0
Male,47,Greater than 45,Caucasian,3,1,-1,2013-10-07 11:30,2013-10-08 8:26,F,1,3,Low,1
Male,30,25 - 45,African-American,10,8,-1,2014-05-29 10:12,2014-05-31 3:35,F,1,10,High,1
Male,44,25 - 45,Caucasian,1,3,0,2013-03-30 4:02,2013-03-30 8:06,F,0,1,Low,0
Male,34,25 - 45,African-American,1,1,-17,2013-05-24 11:07,2013-05-26 1:55,F,0,1,Low,0
Male,45,Greater than 45,African-American,3,10,-1,2013-10-03 2:44,2013-10-04 8:37,F,1,3,Low,1
Male,38,25 - 45,Hispanic,4,0,-1,2013-12-12 1:10,2013-12-13 3:24,F,0,4,Low,0
Male,50,Greater than 45,Caucasian,1,2,0,2013-01-03 2:20,2013-01-03 10:00,M,0,1,Low,0
Male,29,25 - 45,Caucasian,6,1,0,2014-03-18 3:06,2014-03-18 8:25,M,0,6,Medium,0
Male,26,25 - 45,Caucasian,4,0,0,2013-04-27 2:42,2013-04-27 7:36,F,0,4,Low,0
Male,44,25 - 45,Hispanic,1,2,,,,M,0,1,Low,0
Female,22,Less than 25,African-American,6,1,-1,2014-04-02 7:18,2014-04-03 8:35,F,1,6,Medium,1
Male,47,Greater than 45,Hispanic,1,0,0,2013-04-05 2:12,2013-04-06 5:06,M,0,1,Low,0
Male,49,Greater than 45,Caucasian,1,0,0,2013-11-16 2:12,2013-11-16 8:03,F,0,1,Low,0
Male,49,Greater than 45,African-American,3,1,0,2013-03-13 1:26,2013-04-01 9:47,F,1,3,Low,1
Male,59,Greater than 45,Caucasian,1,2,0,2013-03-21 12:43,2013-04-03 7:34,F,0,1,Low,0
Male,32,25 - 45,Caucasian,5,6,-29,2013-10-24 12:41,2013-11-21 9:37,M,0,5,Medium,0
Male,24,Less than 25,African-American,2,1,0,2013-01-22 12:22,2013-01-22 1:49,M,1,2,Low,1
Male,40,25 - 45,Hispanic,2,0,-2,2014-01-04 1:41,2014-01-05 8:41,M,0,2,Low,0
Male,32,25 - 45,African-American,1,0,0,2013-02-02 12:08,2013-02-02 5:41,F,0,1,Low,0
Female,54,Greater than 45,Hispanic,1,0,0,2013-05-20 3:07,2013-05-20 7:36,M,0,1,Low,0
Male,27,25 - 45,African-American,10,9,-1,2013-02-05 11:27,2015-04-16 6:28,F,1,10,High,1
Female,40,25 - 45,Hispanic,1,1,,,,M,0,1,Low,0
Male,25,25 - 45,Caucasian,8,2,0,2013-02-07 3:40,2013-02-19 8:46,M,0,8,High,0
Male,34,25 - 45,African-American,6,1,,,,M,0,6,Medium,0
Female,62,Greater than 45,Caucasian,1,2,-42,2013-10-25 1:50,2013-12-05 9:19,F,1,1,Low,1
Male,20,Less than 25,Caucasian,5,0,-1,2014-10-19 8:36,2014-10-20 1:41,M,1,5,Medium,1
Male,37,25 - 45,African-American,9,18,-1,2013-03-25 5:57,2013-03-26 7:50,M,0,9,High,0
Female,30,25 - 45,Caucasian,10,5,0,2013-01-29 4:34,2013-02-05 9:30,F,1,10,High,1
Male,23,Less than 25,African-American,6,1,0,2013-04-05 6:11,2013-04-06 5:17,F,1,6,Medium,1
Female,20,Less than 25,African-American,8,0,0,2014-03-23 12:24,2014-03-23 9:07,F,0,8,High,0
Male,29,25 - 45,Caucasian,7,7,-67,2013-09-15 11:28,2013-10-31 2:34,M,1,7,Medium,1
Male,24,Less than 25,African-American,2,1,-59,2013-08-02 3:49,2013-09-29 12:20,F,0,2,Low,0
Female,54,Greater than 45,Caucasian,3,1,-48,2013-11-20 8:51,2013-12-17 4:04,M,0,3,Low,0
Male,66,Greater than 45,African-American,1,3,-36,2013-01-21 1:43,2013-01-21 8:18,F,0,1,Low,0
Male,50,Greater than 45,Caucasian,2,8,-14,2013-03-15 12:34,2013-03-27 9:11,F,0,2,Low,0
Male,50,Greater than 45,African-American,2,7,-1,2013-02-04 7:31,2013-02-05 1:26,F,0,2,Low,0
Male,40,25 - 45,Caucasian,1,3,-1,2013-04-19 4:19,2013-04-20 9:50,F,0,1,Low,0
Female,30,25 - 45,African-American,7,4,213,2013-08-18 6:15,2013-08-19 5:48,M,1,7,Medium,1
Female,24,Less than 25,Caucasian,7,2,-1,2013-02-06 4:14,2013-02-08 8:31,F,0,7,Medium,0
Male,24,Less than 25,Hispanic,6,0,0,2013-03-25 5:10,2013-03-26 1:48,F,1,6,Medium,1
Female,23,Less than 25,African-American,5,3,-1,2014-05-08 9:00,2014-05-09 1:44,F,1,5,Medium,1
Male,24,Less than 25,African-American,8,4,,,,M,1,8,High,1
Male,54,Greater than 45,Caucasian,1,3,-1,2013-05-04 3:59,2013-05-06 4:56,M,1,1,Low,1
Male,25,25 - 45,Caucasian,10,4,-10,2013-03-05 4:57,2013-03-06 8:00,M,0,10,High,0
Male,46,Greater than 45,Caucasian,1,1,-2,2013-07-24 11:48,2013-07-26 10:35,M,0,1,Low,0
Female,35,25 - 45,Hispanic,8,10,-40,2013-10-23 11:36,2013-11-23 5:17,F,0,8,High,0
Male,25,25 - 45,Other,5,1,-1,2013-01-07 7:39,2013-09-30 8:47,F,0,5,Medium,0
Female,22,Less than 25,Caucasian,3,0,-1,2013-09-30 2:52,2013-09-30 2:08,M,0,3,Low,0
Female,32,25 - 45,Caucasian,2,1,-1,2013-12-12 3:30,2013-12-14 4:07,F,0,2,Low,0
Male,25,25 - 45,African-American,3,0,-1,2013-04-26 3:56,2013-04-30 7:29,M,1,3,Low,1
Male,22,Less than 25,African-American,8,3,50,2014-04-03 9:47,2014-04-03 8:42,F,1,8,High,1
Male,33,25 - 45,African-American,9,16,-2,2013-06-01 11:00,2013-06-02 8:14,F,1,9,High,1
Female,49,Greater than 45,Caucasian,1,0,127,2013-05-08 4:33,2013-05-08 7:17,M,1,1,Low,1
Male,30,25 - 45,African-American,5,10,92,2013-11-22 7:21,2014-03-07 12:51,F,0,5,Medium,0
Male,33,25 - 45,African-American,5,4,-1,2014-06-01 9:28,2014-06-03 3:12,M,1,5,Medium,1
Male,24,Less than 25,African-American,2,0,0,2013-01-03 12:11,2013-01-03 7:16,F,0,2,Low,0
Male,33,25 - 45,African-American,9,12,-1,2014-02-10 4:52,2014-02-12 9:28,M,1,9,High,1
Male,37,25 - 45,Caucasian,2,0,-1,2013-03-31 3:19,2013-04-01 1:49,M,1,2,Low,0
Female,40,25 - 45,Caucasian,1,0,0,2014-01-07 2:07,2014-01-07 8:02,M,0,1,Low,0
Male,27,25 - 45,Caucasian,10,1,506,2014-09-18 12:45,2015-05-06 4:54,F,0,10,High,0
Male,43,25 - 45,African-American,6,9,-1,2013-03-24 8:22,2013-03-25 7:55,F,1,6,Medium,1
Male,26,25 - 45,Caucasian,4,11,-56,2013-07-22 6:01,2013-09-16 12:04,F,0,4,Low,0
Male,35,25 - 45,African-American,6,5,-1,2013-09-05 12:06,2013-09-07 2:41,F,1,6,Medium,1
Male,25,25 - 45,African-American,9,11,-1,2013-05-20 5:02,2013-05-27 2:35,F,1,9,High,1
Male,61,Greater than 45,African-American,1,1,0,2014-02-18 2:36,2014-02-18 8:33,F,1,1,Low,1
Male,53,Greater than 45,Caucasian,6,1,-246,2013-01-24 5:33,2013-03-16 5:49,F,1,6,Medium,1
Female,27,25 - 45,Hispanic,3,0,,,,F,1,3,Low,0
Female,52,Greater than 45,African-American,1,1,-28,2013-01-23 11:28,2013-01-24 5:00,F,0,1,Low,0
Male,26,25 - 45,Caucasian,9,7,81,2013-04-28 9:16,2013-09-19 5:44,M,1,9,High,1
Male,39,25 - 45,African-American,2,1,0,2013-04-08 12:51,2013-04-08 10:06,M,1,2,Low,1
Male,47,Greater than 45,African-American,4,5,-1,2014-03-03 9:34,2014-03-04 9:28,F,0,4,Low,0
Male,50,Greater than 45,Caucasian,1,1,,,,F,0,1,Low,0
Female,52,Greater than 45,Caucasian,7,6,0,2013-05-23 1:18,2013-06-25 8:29,M,0,7,Medium,0
Female,41,25 - 45,Caucasian,1,0,,,,M,0,1,Low,0
Male,37,25 - 45,Caucasian,1,0,0,2014-02-03 3:16,2014-02-03 8:15,M,0,1,Low,0
Female,24,Less than 25,African-American,7,0,-1,2013-08-22 7:13,2013-08-23 7:19,F,0,7,Medium,0
Female,34,25 - 45,African-American,9,14,-1,2013-09-09 10:18,2013-09-13 8:09,F,0,9,High,0
Male,24,Less than 25,African-American,6,5,86,2013-05-06 7:41,2013-08-31 5:22,F,1,6,Medium,1
Male,20,Less than 25,Other,4,0,-1,2013-08-15 12:33,2013-08-27 8:48,M,1,4,Low,1
Male,25,25 - 45,Caucasian,3,1,0,2013-05-16 3:10,2013-05-16 8:34,M,1,3,Low,1
Male,31,25 - 45,Caucasian,5,3,-37,2013-11-04 9:31,2013-12-06 11:28,M,0,5,Medium,0
Female,62,Greater than 45,Caucasian,1,0,0,2013-10-03 2:12,2013-10-03 8:30,M,0,1,Low,0
Male,23,Less than 25,Caucasian,3,0,-1,2014-05-22 3:25,2014-05-23 10:51,F,1,3,Low,1
Female,60,Greater than 45,Caucasian,7,0,0,2013-03-20 3:59,2013-04-02 11:35,F,0,7,Medium,0
Male,35,25 - 45,Caucasian,1,0,-1,2014-03-02 8:33,2014-03-03 9:10,M,0,1,Low,0
Female,24,Less than 25,African-American,7,0,-1,2013-10-06 11:32,2013-10-07 6:38,F,0,7,Medium,0
Female,56,Greater than 45,Caucasian,2,1,-60,2013-11-10 3:07,2013-11-14 4:25,F,1,2,Low,1
Male,30,25 - 45,Caucasian,1,0,0,2013-04-26 4:51,2013-04-26 1:38,M,0,1,Low,0
Male,41,25 - 45,Caucasian,9,17,171,2013-07-05 4:18,2013-08-21 10:32,M,1,9,High,1
Male,35,25 - 45,Caucasian,5,4,-1,2014-07-04 8:09,2014-07-05 10:55,F,1,5,Medium,1
Female,28,25 - 45,Caucasian,4,0,-1,2013-12-17 3:11,2013-12-17 8:52,M,0,4,Low,0
Male,23,Less than 25,African-American,10,1,689,2015-08-08 12:21,2015-08-12 8:08,M,0,10,High,0
Male,56,Greater than 45,African-American,1,0,-1,2013-10-01 1:21,2013-10-02 12:35,F,0,1,Low,0
Male,23,Less than 25,African-American,2,2,-1,2014-02-19 5:21,2014-02-20 8:55,F,1,2,Low,1
Male,20,Less than 25,Hispanic,3,0,-1,2014-04-06 10:44,2014-04-07 8:23,F,1,3,Low,1
Male,37,25 - 45,Hispanic,2,4,,,,F,1,2,Low,0
Male,23,Less than 25,Caucasian,2,1,-1,2014-03-28 11:35,2014-03-29 9:58,M,0,2,Low,0
Male,21,Less than 25,African-American,9,0,0,2013-03-21 12:00,2013-03-23 7:45,F,1,9,High,1
Female,21,Less than 25,African-American,7,3,539,2014-07-16 4:03,2014-09-13 5:41,F,1,7,Medium,0
Female,35,25 - 45,African-American,5,2,-1,2013-09-05 5:55,2013-09-19 9:03,F,0,5,Medium,0
Male,33,25 - 45,Caucasian,3,3,0,2013-03-30 3:59,2013-03-30 8:08,M,0,3,Low,0
Male,21,Less than 25,Hispanic,4,0,-1,2013-05-11 3:01,2013-05-15 7:34,F,0,4,Low,0
Male,41,25 - 45,African-American,9,9,-1,2013-02-17 6:51,2013-02-18 6:40,M,1,9,High,0
Male,24,Less than 25,African-American,5,0,-1,2013-10-13 5:01,2013-10-17 5:14,F,0,5,Medium,0
Male,20,Less than 25,Hispanic,10,2,9,2014-10-10 4:25,2015-04-20 11:36,F,1,10,High,1
Male,28,25 - 45,African-American,8,9,-1,2013-12-20 4:41,2013-12-21 8:55,F,1,8,High,1
Male,25,25 - 45,Native American,9,7,0,2013-01-19 12:25,2013-01-20 7:58,F,1,9,High,0
Male,49,Greater than 45,African-American,2,3,0,2013-04-13 3:06,2013-04-14 4:33,F,0,2,Low,0
Female,22,Less than 25,Hispanic,6,0,0,2013-04-24 3:08,2013-04-24 8:19,F,0,6,Medium,0
Male,21,Less than 25,African-American,3,0,-1,2013-11-15 4:52,2013-11-17 2:33,F,1,3,Low,1
Female,27,25 - 45,African-American,9,3,-1,2014-04-01 7:29,2014-04-04 9:24,F,1,9,High,1
Male,32,25 - 45,African-American,7,4,302,2014-08-19 12:08,2015-02-26 5:29,F,1,7,Medium,1
Male,50,Greater than 45,African-American,5,4,-3,2013-12-23 11:01,2013-12-25 12:33,M,0,5,Medium,0
Female,23,Less than 25,African-American,3,0,0,2014-01-28 2:07,2014-01-28 8:01,M,0,3,Low,0
Male,34,25 - 45,Caucasian,4,0,-1,2014-01-04 11:00,2014-01-05 8:05,M,0,4,Low,0
Male,35,25 - 45,African-American,4,1,,,,M,0,4,Low,0
Male,25,25 - 45,African-American,5,4,-1,2013-01-13 10:38,2013-02-15 7:52,F,1,5,Medium,1
Female,33,25 - 45,Caucasian,5,2,-1,2013-03-03 6:23,2013-04-15 10:09,F,1,5,Medium,1
Male,25,25 - 45,Other,4,1,-1,2013-08-12 8:23,2013-10-09 9:34,M,1,4,Low,1
Male,30,25 - 45,Hispanic,1,0,-1,2013-11-02 7:39,2013-11-03 1:25,M,0,1,Low,0
Male,42,25 - 45,Native American,2,0,-1,2013-02-09 2:53,2013-02-12 5:49,M,0,2,Low,0
Female,29,25 - 45,Caucasian,10,11,-3,2014-12-18 9:04,2015-01-22 5:51,F,1,10,High,1
Female,32,25 - 45,African-American,4,6,-1,2013-08-05 7:44,2013-08-09 5:28,F,1,4,Low,1
Male,24,Less than 25,Other,6,5,-1,2013-10-01 10:04,2013-10-02 11:33,F,0,6,Medium,0
Male,52,Greater than 45,African-American,1,3,-1,2013-10-29 8:09,2013-10-30 2:04,F,0,1,Low,0
Female,26,25 - 45,Caucasian,3,3,-1,2014-01-12 7:47,2014-01-13 2:00,M,0,3,Low,0
Male,31,25 - 45,Caucasian,3,2,-1,2014-10-17 10:47,2014-10-18 9:13,F,1,3,Low,1
Male,38,25 - 45,Hispanic,1,0,0,2013-03-31 3:07,2013-04-01 6:36,F,0,1,Low,0
Male,47,Greater than 45,Caucasian,1,2,,,,M,0,1,Low,0
Male,25,25 - 45,African-American,7,5,77,2013-11-14 9:36,2014-01-10 10:22,F,0,7,Medium,0
Female,30,25 - 45,Caucasian,5,0,0,2013-03-14 2:57,2013-03-15 6:01,F,0,5,Medium,0
Male,20,Less than 25,African-American,10,0,-1,2014-09-28 5:46,2014-10-02 8:08,M,1,10,High,1
Female,29,25 - 45,African-American,10,2,64,2013-03-14 1:32,2013-03-16 9:48,F,0,10,High,0
Male,24,Less than 25,Asian,3,0,-1,2013-03-24 9:12,2013-03-25 7:15,F,0,3,Low,0
Male,31,25 - 45,Caucasian,4,0,-1,2013-02-20 8:50,2013-05-09 6:18,F,0,4,Low,0
Female,54,Greater than 45,Caucasian,2,12,-175,2013-04-01 9:07,2013-09-19 9:03,F,0,2,Low,0
Female,37,25 - 45,Caucasian,3,1,-25,2013-01-27 4:29,2013-01-28 8:30,M,0,3,Low,0
Male,43,25 - 45,Hispanic,2,0,-4,2014-05-29 3:45,2014-05-29 8:54,M,1,2,Low,1
